Symbol,Name,LastSale,MarketCap,MarketCap_Dollars,IPOyear,Sector,industry,Summary Quote
JFKKR,8i Enterprises Acquisition Corp,0.28,n/a,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkr
ABEOW,Abeona Therapeutics Inc.,0.85,n/a,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow
ACAMU,Acamar Partners Acquisition Corp.,10,n/a,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamu
ACAMW,Acamar Partners Acquisition Corp.,0.75,n/a,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamw
ACTTU,Act II Global Acquisition Corp.,10.11,n/a,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acttu
ADILW,"Adial Pharmaceuticals, Inc",0.25,n/a,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adilw
AGNCM,AGNC Investment Corp.,25.39,n/a,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncm
AGFSW,"AgroFresh Solutions, Inc.",0.013,n/a,n/a,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfsw
AIRTP,"Air T, Inc.",2.45,n/a,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airtp
AIRTW,"Air T, Inc.",0.072,n/a,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airtw
KERNW,Akerna Corp.,2.33,n/a,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/kernw
ALACR,Alberton Acquisition Corporation,0.2201,n/a,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacr
ALACU,Alberton Acquisition Corporation,10.4357,n/a,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacu
ALACW,Alberton Acquisition Corporation,0.1016,n/a,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacw
ALGRR,Allegro Merger Corp.,0.24,n/a,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algrr
ALGRU,Allegro Merger Corp.,10.51,n/a,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algru
ALGRW,Allegro Merger Corp.,0.24,n/a,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algrw
AMRWW,"Alta Mesa Resources, Inc.",0.0099,n/a,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amrww
AMBCW,"Ambac Financial Group, Inc.",8,n/a,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambcw
AMCIU,AMCI Acquisition Corp.,10.17,n/a,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/amciu
AMCIW,AMCI Acquisition Corp.,0.29,n/a,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/amciw
AMRHW,"Ameri Holdings, Inc.",0.0853,n/a,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrhw
ANDAR,Andina Acquisition Corp. III,0.27,n/a,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/andar
ANDAU,Andina Acquisition Corp. III,10.3,n/a,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/andau
ANDAW,Andina Acquisition Corp. III,0.23,n/a,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/andaw
APDNW,Applied DNA Sciences Inc,0.01,n/a,n/a,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/apdnw
ACGLO,Arch Capital Group Ltd.,25.1256,n/a,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/acglo
ACGLP,Arch Capital Group Ltd.,24.15,n/a,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/acglp
ARTLW,"Artelo Biosciences, Inc.",0.851,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/artlw
ARYAU,ARYA Sciences Acquisition Corp.,10.67,n/a,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/aryau
ARYAW,ARYA Sciences Acquisition Corp.,1.5,n/a,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/aryaw
AFHBL,"Atlas Financial Holdings, Inc.",9.5,n/a,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afhbl
ATISW,Attis Industries Inc.,0.2,n/a,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/atisw
RILYG,"B. Riley Financial, Inc.",24.99,n/a,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/rilyg
RILYH,"B. Riley Financial, Inc.",25.91,n/a,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/rilyh
RILYI,"B. Riley Financial, Inc.",25.49,n/a,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/rilyi
RILYL,"B. Riley Financial, Inc.",25.58,n/a,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/rilyl
RILYO,"B. Riley Financial, Inc.",25.1,n/a,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/rilyo
RILYZ,"B. Riley Financial, Inc.",25.42,n/a,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/rilyz
ZTEST,BATS BZX Exchange,10.1,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ztest
BNTCW,Benitec Biopharma Limited,0.0988,n/a,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/bntcw
BRPAR,Big Rock Partners Acquisition Corp.,0.19,n/a,n/a,2017,Finance,Business Services,https://www.nasdaq.com/symbol/brpar
BRPAU,Big Rock Partners Acquisition Corp.,10.65,n/a,n/a,2017,Finance,Business Services,https://www.nasdaq.com/symbol/brpau
BRPAW,Big Rock Partners Acquisition Corp.,0.1401,n/a,n/a,2017,Finance,Business Services,https://www.nasdaq.com/symbol/brpaw
BNGOW,"Bionano Genomics, Inc.",0.95,n/a,n/a,2018,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/bngow
BVXVW,BiondVax Pharmaceuticals Ltd.,1.0553,n/a,n/a,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/bvxvw
BRACR,Black Ridge Acquisition Corp.,0.42,n/a,n/a,2017,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/bracr
BRACU,Black Ridge Acquisition Corp.,10.8,n/a,n/a,2017,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/bracu
BRACW,Black Ridge Acquisition Corp.,0.32,n/a,n/a,2017,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/bracw
