Symbol,Name,LastSale,MarketCap,MarketCap_Dollars,IPOyear,Sector,industry,Summary Quote
AEB,Aegon NV,22.64,n/a,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeb
AEH,Aegon NV,25.88,n/a,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeh
MGR,"Affiliated Managers Group, Inc.",25.76,n/a,n/a,2019,Finance,Investment Managers,https://www.nasdaq.com/symbol/mgr
MITT^A,"AG Mortgage Investment Trust, Inc.",25.588,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mitt^a
MITT^B,"AG Mortgage Investment Trust, Inc.",25.85,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mitt^b
AL^A,Air Lease Corporation,26.54,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/al^a
ALP^Q,Alabama Power Company,25.43,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/alp^q
ARE^D,"Alexandria Real Estate Equities, Inc.",38.43,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/are^d
AQNA,Algonquin Power & Utilities Corp.,26.68,n/a,n/a,2018,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aqna
AQNB,Algonquin Power & Utilities Corp.,25.61,n/a,n/a,2019,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aqnb
NCV^A,AllianzGI Convertible & Income Fund,25.5103,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ncv^a
NCZ^A,AllianzGI Convertible & Income Fund II,25.2,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ncz^a
ALL^A,Allstate Corporation (The),25.84,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^a
ALL^B,Allstate Corporation (The),26.1243,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^b
ALL^D,Allstate Corporation (The),27.15,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^d
ALL^E,Allstate Corporation (The),25.9443,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^e
ALL^F,Allstate Corporation (The),26.22,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^f
ALL^G,Allstate Corporation (The),26.275,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^g
ALLY^A,Ally Financial Inc.,26.35,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ally^a
AEP^B,"American Electric Power Company, Inc.",54.35,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aep^b
AFGB,"American Financial Group, Inc.",26.21,n/a,n/a,2019,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afgb
AFGE,"American Financial Group, Inc.",25.56,n/a,n/a,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afge
AFGH,"American Financial Group, Inc.",26.3,n/a,n/a,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afgh
AMH^D,American Homes 4 Rent,26.9,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^d
AMH^E,American Homes 4 Rent,26.72,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^e
AMH^F,American Homes 4 Rent,25.47,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^f
AMH^G,American Homes 4 Rent,25.82,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^g
AMH^H,American Homes 4 Rent,26.05,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^h
AIG.WS,"American International Group, Inc.",n/a,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aig.ws
AIG^A,"American International Group, Inc.",26.05,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aig^a
NLY^C.CL,Annaly Capital Management Inc,n/a,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^c.cl
NLY^D,Annaly Capital Management Inc,25.33,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^d
NLY^F,Annaly Capital Management Inc,25.42,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^f
NLY^G,Annaly Capital Management Inc,24.45,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^g
ANH^A,Anworth Mortgage Asset  Corporation,26.79,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^a
ANH^B,Anworth Mortgage Asset  Corporation,22.19,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^b
ANH^C,Anworth Mortgage Asset  Corporation,25.6033,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^c
APO^A,"Apollo Global Management, LLC",25.64,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/apo^a
APO^B,"Apollo Global Management, LLC",25.6872,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/apo^b
AIY,Apollo Investment Corporation,26.07,n/a,n/a,2013,n/a,n/a,https://www.nasdaq.com/symbol/aiy
WTRU,"Aqua America, Inc.",57.78,n/a,n/a,2019,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/wtru
ABR^A,Arbor Realty Trust,25.91,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abr^a
ABR^B,Arbor Realty Trust,25.8729,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abr^b
ABR^C,Arbor Realty Trust,26.01,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abr^c
ARES^A,Ares Management Corporation,27.1,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ares^a
ARGD,"Argo Group International Holdings, Ltd.",25.5,n/a,n/a,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/argd
AI^B,Arlington Asset Investment Corp,21.78,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ai^b
AI^C,Arlington Asset Investment Corp,21.56,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ai^c
AIC,Arlington Asset Investment Corp,24.55,n/a,n/a,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aic
